Rank,Breed
1,Retrievers (Labrador)
2,French Bulldogs
3,Retrievers (Golden)
4,German Shepherd Dogs
5,Poodles
6,Bulldogs
7,Beagles
8,Rottweilers
9,Pointers (German Shorthaired)
10,Dachshunds
11,Pembroke Welsh Corgis
12,Australian Shepherds
13,Yorkshire Terriers
14,Boxers
15,Cavalier King Charles Spaniels
16,Doberman Pinschers
17,Great Danes
18,Miniature Schnauzers
19,Siberian Huskies
20,Bernese Mountain Dogs
21,Cane Corso
22,Shih Tzu
23,Boston Terriers
24,Pomeranians
25,Havanese
26,Spaniels (English Springer)
27,Brittanys
28,Shetland Sheepdogs
29,Spaniels (Cocker)
30,Miniature American Shepherds
31,Border Collies
32,Vizslas
33,Pugs
34,Basset Hounds
35,Mastiffs
36,Belgian Malinois
37,Chihuahuas
38,Collies
39,Maltese
40,Weimaraners
41,Rhodesian Ridgebacks
42,Shiba Inu
43,Spaniels (English Cocker)
44,Portuguese Water Dogs
45,Newfoundlands
46,West Highland White Terriers
47,Bichons Frises
48,Retrievers (Chesapeake Bay)
49,Dalmatians
50,Bloodhounds
51,Australian Cattle Dogs
52,Akitas
53,St. Bernards
54,Papillons
55,Samoyeds
56,Bullmastiffs
57,Whippets
58,Scottish Terriers
59,Pointers (German Wirehaired)
60,Wirehaired Pointing Griffons
61,Bull Terriers
62,Airedale Terriers
63,Great Pyrenees
64,Chinese Shar-Pei
65,Giant Schnauzers
66,Soft Coated Wheaten Terriers
67,Cardigan Welsh Corgis
68,Alaskan Malamutes
69,Old English Sheepdogs
70,Dogues de Bordeaux
71,Setters (Irish)
72,Russell Terriers
73,Italian Greyhounds
74,Cairn Terriers
75,Staffordshire Bull Terriers
76,Miniature Pinschers
77,Chinese Crested
78,Greater Swiss Mountain Dogs
79,Lagotti Romagnoli
80,Chow Chows
81,American Staffordshire Terriers
82,Biewer Terriers
83,Coton de Tulear
84,Lhasa Apsos
85,Irish Wolfhounds
86,Rat Terriers
87,Basenjis
88,Anatolian Shepherd Dogs
89,Dogo Argentinos
90,Spaniels (Boykin)
91,Border Terriers
92,Retrievers (Nova Scotia Duck Tolling)
93,Retrievers (Flat-Coated)
94,Pekingese
95,Keeshonden
96,Standard Schnauzers
97,Brussels Griffons
98,Setters (English)
99,Fox Terriers (Wire)
100,Norwegian Elkhounds
101,Bouviers des Flandres
102,Leonbergers
103,Belgian Tervuren
104,Borzois
105,Japanese Chin
106,Neapolitan Mastiffs
107,Miniature Bull Terriers
108,Spinoni Italiani
109,Welsh Terriers
110,Toy Fox Terriers
111,Norwich Terriers
112,Tibetan Terriers
113,Setters (Gordon)
114,Afghan Hounds
115,Schipperkes
116,Silky Terriers
117,Parson Russell Terriers
118,Boerboels
119,Xoloitzcuintli
120,Pointers
121,Beaucerons
122,American Eskimo Dogs
123,Manchester Terriers
124,Irish Terriers
125,Tibetan Spaniels
126,Spaniels (Welsh Springer)
127,Black Russian Terriers
128,Salukis
129,Belgian Sheepdogs
130,Norfolk Terriers
131,Fox Terriers (Smooth)
132,Greyhounds
133,Bedlington Terriers
134,Kerry Blue Terriers
135,American Hairless Terriers
136,Spaniels (Field)
137,English Toy Spaniels
138,Icelandic Sheepdogs
139,Sealyham Terriers
140,Bluetick Coonhounds
141,Black and Tan Coonhounds
142,Lakeland Terriers
143,Bearded Collies
144,Wirehaired Vizslas
145,Spanish Water Dogs
146,German Pinschers
147,Tibetan Mastiffs
148,Barbets
149,Spaniels (Clumber)
150,Briards
151,Treeing Walker Coonhounds
152,Australian Terriers
153,Pumik
154,Setters (Irish Red and White)
155,Redbone Coonhounds
156,Nederlandse Kooikerhondjes
157,Lowchen
158,Scottish Deerhounds
159,Affenpinschers
160,Swedish Vallhunds
161,Petits Bassets Griffons Vendeens
162,Portuguese Podengo Pequenos
163,Berger Picards
164,Pulik
165,Spaniels (Irish Water)
166,Spaniels (American Water)
167,Retrievers (Curly-Coated)
168,Finnish Lapphunds
169,Kuvaszok
170,Norwegian Buhunds
171,Plott Hounds
172,Chinooks
173,Entlebucher Mountain Dogs
174,Dandie Dinmont Terriers
175,Glen of Imaal Terriers
176,Pharaoh Hounds
177,Spaniels (Sussex)
178,Otterhounds
179,Bergamasco Sheepdogs
180,Polish Lowland Sheepdogs
181,Skye Terriers
182,Ibizan Hounds
183,Cirnechi dell’Etna
184,American English Coonhounds
185,Azawakhs
186,Komondorok
187,Canaan Dogs
188,Harriers
189,Grand Basset Griffon Vendeens
190,Cesky Terriers
191,Finnish Spitz
192,Pyrenean Shepherds
193,Sloughis
194,Belgian Laekenois
195,American Foxhounds
196,English Foxhounds
197,Norwegian Lundehunds
